文章标题,文章链接,发布时间,是否原创,阅读数,点赞数,分享数,收藏数,评论数,点赞率,在看率,合集名称,合集类型,抓取时间
卧室放绿植，治愈还是致郁？,https://mp.weixin.qq.com/s/3osqFw7_UCMTaDBhL2WJ2Q,今天 15:30,是,8,3,2,3,0,37.50%,25.00%,绿植软装,文章,2026-02-05T08:56:48.210Z
累了吗？给眼睛做个绿色SPA 💆‍♀️,https://mp.weixin.qq.com/s/-BW5EhXeX6771Yb_5zzP_g,今天 15:18,否,13,2,2,2,0,15.38%,15.38%,欣赏,图文,2026-02-05T08:56:48.210Z
立春至，3个小仪式唤醒沉睡的植物与生活热爱,https://mp.weixin.qq.com/s/SATwf1y99Ah_0yBG5VC84Q,昨天 15:28,是,4,3,2,3,0,75.00%,50.00%,节气与绿植,文章,2026-02-05T08:56:48.210Z
立春赏花图鉴：把春天最早的消息带给你 🌸,https://mp.weixin.qq.com/s/Vhxhuc8hhAoLdCKSJbdFhA,昨天 12:33,否,33,4,3,5,0,12.12%,9.09%,欣赏,图文,2026-02-05T08:56:48.211Z
"春节送礼攻略：别送烟酒了，这5盆""吉利花""长辈更喜欢",https://mp.weixin.qq.com/s/fAw_k4CpB4SOFBFnTBX66A,星期一 11:40,是,8,1,1,2,0,12.50%,12.50%,年宵花,文章,2026-02-05T08:56:48.211Z
立春就急着施肥？难怪你的花总是黄叶！（10年养花血泪史）,https://mp.weixin.qq.com/s/VNJopUikSwOjAxifQu6fiA,星期日 09:08,是,18,3,2,3,0,16.67%,11.11%,养护技巧,文章,2026-02-05T08:56:48.211Z
君子兰冬季养护：温差管理与烂心预防完全指南,https://mp.weixin.qq.com/s/dIFhnZJ5CUToR4Lx8HpiYQ,01月30日,是,16,5,2,4,0,31.25%,12.50%,养护技巧,文章,2026-02-05T08:56:48.212Z
"立春将至，你的植物""醒""了吗？3个关键动作唤醒满屋绿意",https://mp.weixin.qq.com/s/_BXIF09-DkUPJQ8DSoJSgA,01月27日,是,3,2,1,2,0,66.67%,33.33%,养护技巧,文章,2026-02-05T08:56:48.212Z
室内空气差？这5种植物堪称天然净化器,https://mp.weixin.qq.com/s/70qVMWYYjD59nXap7HNAZA,01月25日,是,17,2,2,1,0,11.76%,11.76%,绿植软装,文章,2026-02-05T08:56:48.212Z
一盆变十盆：4种常见植物的扦插技巧,https://mp.weixin.qq.com/s/cXCmi7UbuX8mFdgya7NbqQ,01月23日,是,18,2,3,2,0,11.11%,16.67%,修剪整形,文章,2026-02-05T08:56:48.212Z
"第一次养植物？这5种""防手黑绿植""闭眼入",https://mp.weixin.qq.com/s/e8TLV6kYOCxlhOfJpGJtGA,01月22日,是,8,2,2,2,0,25.00%,25.00%,养护技巧,文章,2026-02-05T11:57:18.888Z
让绿意住进生活，让美好住进心里,https://mp.weixin.qq.com/s/WezdSN8k_PU6hKfhYFXhrQ,01月21日,否,30,2,1,2,0,6.67%,3.33%,养护技巧,文章,2026-02-05T11:57:18.888Z
新春好运来！5种年宵花寓意大揭秘，让家宅旺气满满！,https://mp.weixin.qq.com/s/2TieYTkVEmwIcMk-2srMZQ,01月20日,是,72,2,4,2,0,2.78%,5.56%,年宵花,文章,2026-02-05T11:57:18.888Z
春节必备！精选年宵花，让喜庆持续到正月十五,https://mp.weixin.qq.com/s/mPc5-sgMukjUePUgMkoOsw,01月19日,是,16,4,2,2,0,25.00%,12.50%,年宵花,文章,2026-02-05T11:57:18.888Z
春日阳台变菜园，超实用准备攻略,https://mp.weixin.qq.com/s/YiBr3ZhL4UazdviWjtXOTw,01月18日,是,11,3,2,2,0,27.27%,18.18%,阳台种植,文章,2026-02-05T11:57:18.888Z
冬季施肥必看！3大常见错误，你中招了吗？,https://mp.weixin.qq.com/s/hgCDR0YjGuAwYoN3BpnYrA,01月17日,否,5,2,1,2,0,40.00%,20.00%,知识分享,图文,2026-02-05T11:57:18.888Z
冬季绿植叶片焦边发黄？这4个原因你一定要知道,https://mp.weixin.qq.com/s/PXLJiOhEub2E7XvAnDJAYw,01月16日,是,155,4,5,4,0,2.58%,3.23%,养护技巧,文章,2026-02-05T11:57:18.889Z
阳台春季种植规划指南：从选址到配置,https://mp.weixin.qq.com/s/LNWI89jK20JNdy3G96-ijQ,01月09日,是,7,2,1,2,0,28.57%,14.29%,阳台种植,文章,2026-02-05T11:57:18.889Z
为什么你的植物叶尖总是焦枯？湿度控制的3个关键技巧,https://mp.weixin.qq.com/s/bfp6utvlZXgyJkq89DnzcQ,01月07日,是,7,4,2,3,0,57.14%,28.57%,养护技巧,文章,2026-02-05T11:57:18.889Z
植物萎蔫别急着浇水:烂根诊断与急救全流程,https://mp.weixin.qq.com/s/mSVlomSelxch98Kaj-RVnQ,01月06日,是,25,5,6,4,0,20.00%,24.00%,养护技巧,文章,2026-02-05T11:57:18.889Z
"北京的冬天，植物需要的不是溺爱，而是这就事论事的""距离感""",https://mp.weixin.qq.com/s/uCk-6kMCVzIz-uNgsQuLVg,01月04日,是,9,3,1,3,0,33.33%,11.11%,养护技巧,文章,2026-02-05T11:59:56.424Z
北京阳台全年种养日历：12个月该种什么，一篇说清,https://mp.weixin.qq.com/s/ugLEMUELzOm9d2n0wrb-Mw,01月01日,是,33,2,3,3,0,6.06%,9.09%,阳台种植,文章,2026-02-05T11:59:56.424Z
"""望闻问切""四招，轻松辨别植物需水",https://mp.weixin.qq.com/s/JNXeKSNCzls_2LWP_5WJXw,2025年12月31日,否,13,2,2,2,0,15.38%,15.38%,知识分享,图文,2026-02-05T11:59:56.424Z
"你买回家的不是""永久花""，是时间的胶囊",https://mp.weixin.qq.com/s/AvdIcx7yuGvgUeQGkUn3DQ,2025年12月30日,否,53,2,2,2,0,3.77%,3.77%,知识分享,图文,2026-02-05T11:59:56.424Z
"不是冻死，是""热""死？北方室内养花的 5 个隐形杀手",https://mp.weixin.qq.com/s/4raJot6ETAeEyDS7aCPPXQ,2025年12月29日,是,20,2,2,3,0,10.00%,10.00%,养护技巧,文章,2026-02-05T11:59:56.424Z
"家里光照不好，植物总养死？可能是你误解了""耐阴""",https://mp.weixin.qq.com/s/ixZ49jw_kdHs3uYHtSBkEQ,2025年12月28日,是,32,5,5,4,0,15.62%,15.62%,养护技巧,文章,2026-02-05T11:59:56.425Z
慢养四季：新手植愈系养护指南,https://mp.weixin.qq.com/s/1BHu6dKmjTz1QIwLNg3u0g,2025年12月26日,否,83,2,2,4,0,2.41%,2.41%,知识分享,图文,2026-02-05T11:59:56.425Z
慢养四季 | 大棚动工，都市绿洲正在成长,https://mp.weixin.qq.com/s/L8Hu-GjVoR_3y4JrB9fN1g,2025年09月10日,是,53,3,2,2,0,5.66%,3.77%,城市绿洲,文章,2026-02-05T11:59:56.425Z
慢养四季：在城市中心种下一片节气花园,https://mp.weixin.qq.com/s/mb8WUbU0REVDr4BrThsFHA,2025年08月24日,是,49,4,3,4,0,8.16%,6.12%,城市绿洲,文章,2026-02-05T11:59:56.425Z
"花儿也要""避暑""！5个简单实用的栀子花夏日养护技巧，快学起来",https://mp.weixin.qq.com/s/gHs_83FJKedbZnTTf0m5Iw,2025年04月23日,是,65,3,2,3,0,4.62%,3.08%,养护技巧,文章,2026-02-05T12:52:43.726Z
手把手教你修剪龟背竹气生根，三招打造茁壮植株，新手也能轻松上手！,https://mp.weixin.qq.com/s/r0YKBDolEk1BVrfzQZDtmA,2025年04月17日,是,416,3,5,3,0,0.72%,1.20%,修剪整形,文章,2026-02-05T12:52:43.726Z
高温来袭，多肉植物如何施肥？掌握这三个关键点,https://mp.weixin.qq.com/s/nRuYIiRiE0pkc9XdKQveqA,2025年04月10日,是,18,2,2,2,0,11.11%,11.11%,养护技巧,文章,2026-02-05T12:52:43.726Z
梅雨季虎皮兰烂根怎么办？4个控水秘诀让你轻松应对！,https://mp.weixin.qq.com/s/NA6v7eHrdBpFbKnd2CzqpQ,2025年04月09日,是,25,3,2,3,0,12.00%,8.00%,养护技巧,文章,2026-02-05T12:52:43.726Z
紧急救援｜你家鸿运当头的这些求救信号你看懂了吗？,https://mp.weixin.qq.com/s/zmJugGFcLFxw7euhtcsEYg,2025年04月01日,是,286,6,5,5,1,2.10%,1.75%,养护技巧,文章,2026-02-05T12:52:43.726Z
超市萌物变干尸？揭秘网红植物盆栽的生存密码，拯救你的小绿植！,https://mp.weixin.qq.com/s/6J5hlNf8xkqq5STgJYK8ZQ,2025年03月31日,是,35,1,3,0,0,2.86%,8.57%,养护技巧,文章,2026-02-05T12:52:43.726Z
春季多肉养护秘籍：三大核心操作助你养出果冻色,https://mp.weixin.qq.com/s/HkQKbdCWwsyabXbTC28pcQ,2025年03月27日,是,47,7,6,6,6,14.89%,12.77%,养护技巧,文章,2026-02-05T12:52:43.726Z
"别再乱浇水了！这份""见干见湿""对照表，让你家植物多活10年！",https://mp.weixin.qq.com/s/sG05m1K-7E8hFt3oV_A1dg,2025年03月24日,是,47,3,7,3,0,6.38%,14.89%,养护技巧,文章,2026-02-05T12:52:43.726Z
"君子兰夹箭急救！2个动作7天抽箭开花！——拯救你的""卡脖花""，轻松解锁花箭！",https://mp.weixin.qq.com/s/sbVbK6spsL8lWjnicn9EnQ,2025年03月20日,是,188,2,10,2,0,1.06%,5.32%,养护技巧,文章,2026-02-05T12:52:43.726Z
养花杀手逆袭指南！你的24小时「植物急诊室」上线了！,https://mp.weixin.qq.com/s/A9DTqy2JCvI5KvSUE7-44Q,2025年03月14日,是,17,4,1,3,0,23.53%,5.88%,#智能园艺,文章,2026-02-05T12:52:43.726Z
